399 unique permissions found.

0                                                            | 1                              | 2
com.solidstatenetworks.host                                  | Full Disk Access               | ❌ Denied
com.spotify.client                                           | BluetoothAlways                | ✅ Allowed
com.spotify.client                                           | Desktop Folder                 | ✅ Allowed
com.spotify.client                                           | Downloads Folder               | ✅ Allowed
com.spotify.client                                           | Full Disk Access               | ❌ Denied
com.spotify.client                                           | MediaLibrary                   | ✅ Allowed
com.spotify.client                                           | Microphone                     | ✅ Allowed
com.surteesstudios.Bartender                                 | Accessibility                  | ✅ Allowed
com.surteesstudios.Bartender                                 | Screen Recording               | ✅ Allowed
com.ti.eps.TIConnectX.CommManager                            | Automation                     | ✅ Allowed
com.ti.eps.TIConnectX.Data-Editor                            | Automation                     | ✅ Allowed
com.ti.eps.TIConnectX.Device-Explorer                        | Automation                     | ✅ Allowed
com.ti.eps.TIConnectX.TIConnectXLauncher                     | Automation                     | ✅ Allowed
com.ti.eps.TIConnectX.TISoftwareUpdate                       | Automation                     | ✅ Allowed
com.tinyspeck.slackmacgap                                    | Downloads Folder               | ✅ Allowed
com.todesktop.230313mzl4w4u92                                | Desktop Folder                 | ✅ Allowed
com.utmapp.UTM                                               | Microphone                     | ✅ Allowed
com.valvesoftware.steam                                      | Desktop Folder                 | ✅ Allowed
com.vcg.meshlab                                              | Accessibility                  | ✅ Allowed
com.vcg.meshlab                                              | Desktop Folder                 | ✅ Allowed
com.vcg.meshlab                                              | Documents Folder               | ✅ Allowed
com.vcg.meshlab                                              | Downloads Folder               | ✅ Allowed
com.vcg.meshlab                                              | Input Monitoring               | ✅ Allowed
com.verificient.proctortrack                                 | Automation                     | ✅ Allowed
com.verificient.proctortrack                                 | Camera                         | ✅ Allowed
com.verificient.proctortrack                                 | Downloads Folder               | ✅ Allowed
com.verificient.proctortrack                                 | Microphone                     | ✅ Allowed
com.webex.eventcenter                                        | Microphone                     | ✅ Allowed
com.winzip.WinZip-Mac                                        | Desktop Folder                 | ✅ Allowed
com.wolfram.WolframScript                                    | Automation                     | ✅ Allowed
com.zlineman.Jellyfish                                       | iCloud Drive                   | ✅ Allowed
com.zlineman.Jellyfish                                       | iCloud/CloudKit                | ✅ Allowed
company.thebrowser.Browser                                   | BluetoothAlways                | ✅ Allowed
company.thebrowser.Browser                                   | Desktop Folder                 | ✅ Allowed
company.thebrowser.Browser                                   | Documents Folder               | ✅ Allowed
company.thebrowser.Browser                                   | Downloads Folder               | ✅ Allowed
company.thebrowser.Browser                                   | Full Disk Access               | ❌ Denied
company.thebrowser.Browser                                   | iCloud/CloudKit                | ✅ Allowed
dev.vendicated.vencordinstaller                              | AppBundles                     | ✅ Allowed
im.beeper                                                    | BluetoothAlways                | ✅ Allowed
im.beeper                                                    | Microphone                     | ✅ Allowed
io.robbie.HomeAssistant                                      | Downloads Folder               | ✅ Allowed
me.damir.dropover-mac                                        | iCloud Drive                   | ✅ Allowed
me.guillaumeb.MonitorControl                                 | Accessibility                  | ✅ Allowed
net.ankiweb.dtop                                             | Full Disk Access               | ❌ Denied
net.whatsapp.WhatsApp                                        | AppData                        | ❓ Unknown (5)
net.whatsapp.WhatsApp                                        | Camera                         | ✅ Allowed
net.whatsapp.WhatsApp                                        | Full Disk Access               | ❌ Denied
net.whatsapp.WhatsApp                                        | Microphone                     | ✅ Allowed
net.whatsapp.WhatsApp                                        | iCloud Drive                   | ✅ Allowed
notion.id                                                    | Automation                     | ✅ Allowed
notion.id                                                    | Microphone                     | ✅ Allowed
notion.id                                                    | Screen Recording               | ✅ Allowed
org.cmake.cmake                                              | Desktop Folder                 | ✅ Allowed
org.dolphin-emu.dolphin                                      | Desktop Folder                 | ✅ Allowed
org.dolphin-emu.dolphin                                      | Documents Folder               | ✅ Allowed
org.dolphin-emu.dolphin                                      | Input Monitoring (Listen)      | ✅ Allowed
org.hammerspoon.Hammerspoon                                  | Accessibility                  | ✅ Allowed
org.hammerspoon.Hammerspoon                                  | Automation                     | ✅ Allowed
